id,name,sequence,description
1,Level-10 games,10,Wikipedia category name (en): Level-10 games
2,Level-1 vital articles by quality,20,Wikipedia category name (en): Level-1 vital articles by quality
3,Level-2 vital articles by quality,30,Wikipedia category name (en): Level-2 vital articles by quality
4,Level-3 vital articles by quality,40,Wikipedia category name (en): Level-3 vital articles by quality
5,Level-4 vital articles by quality,50,Wikipedia category name (en): Level-4 vital articles by quality
6,Level-5 (company),60,Wikipedia category name (en): Level-5 (company)
7,Level-5 (company) franchises,70,Wikipedia category name (en): Level-5 (company) franchises
8,Level-5 (company) games,80,Wikipedia category name (en): Level-5 (company) games
9,Level-5 (company) media files,90,Wikipedia category name (en): Level-5 (company) media files
10,Level-5 vital articles by quality,100,Wikipedia category name (en): Level-5 vital articles by quality
11,Level-zero userbox templates,110,Wikipedia category name (en): Level-zero userbox templates
12,Level 10 gymnasts,120,Wikipedia category name (en): Level 10 gymnasts
13,Level 1 trauma centers,130,Wikipedia category name (en): Level 1 trauma centers
14,Level 3 Communications,140,Wikipedia category name (en): Level 3 Communications
15,Level 42 albums,150,Wikipedia category name (en): Level 42 albums
16,Level 42 members,160,Wikipedia category name (en): Level 42 members
17,Level 42 songs,170,Wikipedia category name (en): Level 42 songs
18,Level 5 Motorsports drivers,180,Wikipedia category name (en): Level 5 Motorsports drivers
19,Level 9 Computing games,190,Wikipedia category name (en): Level 9 Computing games
20,Level Infinite games,200,Wikipedia category name (en): Level Infinite games
21,Level Mountain,210,Wikipedia category name (en): Level Mountain
22,Level Plane Records EPs,220,Wikipedia category name (en): Level Plane Records EPs
23,Level Plane Records albums,230,Wikipedia category name (en): Level Plane Records albums
24,Level Plane Records artists,240,Wikipedia category name (en): Level Plane Records artists
25,Level Plane Records compilation albums,250,Wikipedia category name (en): Level Plane Records compilation albums
26,Level Up! Games games,260,Wikipedia category name (en): Level Up! Games games
27,Level crossing accidents,270,Wikipedia category name (en): Level crossing accidents
28,Level crossing accidents in Argentina,280,Wikipedia category name (en): Level crossing accidents in Argentina
29,Level crossing accidents in Australia,290,Wikipedia category name (en): Level crossing accidents in Australia
30,Level crossing accidents in Brazil,300,Wikipedia category name (en): Level crossing accidents in Brazil
31,Level crossing accidents in Canada,310,Wikipedia category name (en): Level crossing accidents in Canada
32,Level crossing accidents in Egypt,320,Wikipedia category name (en): Level crossing accidents in Egypt
33,Level crossing accidents in Germany,330,Wikipedia category name (en): Level crossing accidents in Germany
34,Level crossing accidents in Hungary,340,Wikipedia category name (en): Level crossing accidents in Hungary
35,Level crossing accidents in India,350,Wikipedia category name (en): Level crossing accidents in India
36,Level crossing accidents in Indonesia,360,Wikipedia category name (en): Level crossing accidents in Indonesia
37,Level crossing accidents in Italy,370,Wikipedia category name (en): Level crossing accidents in Italy
38,Level crossing accidents in Romania,380,Wikipedia category name (en): Level crossing accidents in Romania
39,Level crossing accidents in Slovakia,390,Wikipedia category name (en): Level crossing accidents in Slovakia
40,Level crossing accidents in South Africa,400,Wikipedia category name (en): Level crossing accidents in South Africa
41,Level crossing accidents in Sri Lanka,410,Wikipedia category name (en): Level crossing accidents in Sri Lanka
42,Level crossing accidents in Ukraine,420,Wikipedia category name (en): Level crossing accidents in Ukraine
43,Level crossing accidents in the United Kingdom,430,Wikipedia category name (en): Level crossing accidents in the United Kingdom
44,Level crossing incidents by continent,440,Wikipedia category name (en): Level crossing incidents by continent
45,Level crossing incidents by country,450,Wikipedia category name (en): Level crossing incidents by country
46,Level crossing incidents in Africa,460,Wikipedia category name (en): Level crossing incidents in Africa
47,Level crossing incidents in Argentina,470,Wikipedia category name (en): Level crossing incidents in Argentina
48,Level crossing incidents in Asia,480,Wikipedia category name (en): Level crossing incidents in Asia
49,Level crossing incidents in Australia,490,Wikipedia category name (en): Level crossing incidents in Australia
50,Level crossing incidents in Brazil,500,Wikipedia category name (en): Level crossing incidents in Brazil
51,Level crossing incidents in Canada,510,Wikipedia category name (en): Level crossing incidents in Canada
52,Level crossing incidents in Egypt,520,Wikipedia category name (en): Level crossing incidents in Egypt
53,Level crossing incidents in Europe,530,Wikipedia category name (en): Level crossing incidents in Europe
54,Level crossing incidents in France,540,Wikipedia category name (en): Level crossing incidents in France
55,Level crossing incidents in Germany,550,Wikipedia category name (en): Level crossing incidents in Germany
56,Level crossing incidents in Hungary,560,Wikipedia category name (en): Level crossing incidents in Hungary
57,Level crossing incidents in India,570,Wikipedia category name (en): Level crossing incidents in India
58,Level crossing incidents in Indonesia,580,Wikipedia category name (en): Level crossing incidents in Indonesia
59,Level crossing incidents in Israel,590,Wikipedia category name (en): Level crossing incidents in Israel
60,Level crossing incidents in Italy,600,Wikipedia category name (en): Level crossing incidents in Italy
61,Level crossing incidents in North America,610,Wikipedia category name (en): Level crossing incidents in North America
62,Level crossing incidents in Oceania,620,Wikipedia category name (en): Level crossing incidents in Oceania
63,Level crossing incidents in Romania,630,Wikipedia category name (en): Level crossing incidents in Romania
64,Level crossing incidents in Slovakia,640,Wikipedia category name (en): Level crossing incidents in Slovakia
65,Level crossing incidents in South Africa,650,Wikipedia category name (en): Level crossing incidents in South Africa
66,Level crossing incidents in South America,660,Wikipedia category name (en): Level crossing incidents in South America
67,Level crossing incidents in Sri Lanka,670,Wikipedia category name (en): Level crossing incidents in Sri Lanka
68,Level crossing incidents in Sweden,680,Wikipedia category name (en): Level crossing incidents in Sweden
69,Level crossing incidents in Ukraine,690,Wikipedia category name (en): Level crossing incidents in Ukraine
70,Level crossing incidents in the Netherlands,700,Wikipedia category name (en): Level crossing incidents in the Netherlands
71,Level crossing incidents in the United Kingdom,710,Wikipedia category name (en): Level crossing incidents in the United Kingdom
72,Level crossings,720,Wikipedia category name (en): Level crossings
73,Levellers,730,Wikipedia category name (en): Levellers
74,Levellers (band) albums,740,Wikipedia category name (en): Levellers (band) albums
75,Levels in the United Kingdom,750,Wikipedia category name (en): Levels in the United Kingdom
76,Levels of organisation (Biology),760,Wikipedia category name (en): Levels of organisation (Biology)
77,Levels of organization (Biology),770,Wikipedia category name (en): Levels of organization (Biology)
78,Grade (band) albums,780,Wikipedia category name (en): Grade (band) albums
79,Grade 1 Pipe Bands,790,Wikipedia category name (en): Grade 1 Pipe Bands
80,Grade 1 pipe bands,800,Wikipedia category name (en): Grade 1 pipe bands
81,Grade 1 stakes race winners,810,Wikipedia category name (en): Grade 1 stakes race winners
82,Grade 1 stakes races in Canada,820,Wikipedia category name (en): Grade 1 stakes races in Canada
83,Grade 1 stakes races in the United States,830,Wikipedia category name (en): Grade 1 stakes races in the United States
84,Grade 1 turf stakes races in the United States,840,Wikipedia category name (en): Grade 1 turf stakes races in the United States
85,Grade 2 Pipe Bands,850,Wikipedia category name (en): Grade 2 Pipe Bands
86,Grade 2 pipe bands,860,Wikipedia category name (en): Grade 2 pipe bands
87,Grade 2 stakes races in the United States,870,Wikipedia category name (en): Grade 2 stakes races in the United States
88,Grade 3 pipe bands,880,Wikipedia category name (en): Grade 3 pipe bands
89,Grade 3 stakes races in the United States,890,Wikipedia category name (en): Grade 3 stakes races in the United States
90,Grade 4 pipe bands,900,Wikipedia category name (en): Grade 4 pipe bands
91,Grade 8 (band) albums,910,Wikipedia category name (en): Grade 8 (band) albums
92,Grade A listed buildings,920,Wikipedia category name (en): Grade A listed buildings
93,Grade B+ listed buildings,930,Wikipedia category name (en): Grade B+ listed buildings
94,Grade B1 listed buildings,940,Wikipedia category name (en): Grade B1 listed buildings
95,Grade B2 listed buildings,950,Wikipedia category name (en): Grade B2 listed buildings
96,Grade B listed buildings,960,Wikipedia category name (en): Grade B listed buildings
97,Grade II* listed Roman Catholic church buildings in England,970,Wikipedia category name (en): Grade II* listed Roman Catholic church buildings in England
98,Grade II* listed Roman Catholic church buildings in Wales,980,Wikipedia category name (en): Grade II* listed Roman Catholic church buildings in Wales
99,Grade II* listed agricultural buildings,990,Wikipedia category name (en): Grade II* listed agricultural buildings
100,Grade II* listed agricultural buildings in England,1000,Wikipedia category name (en): Grade II* listed agricultural buildings in England
101,Grade II* listed almshouses,1010,Wikipedia category name (en): Grade II* listed almshouses
102,Grade II* listed assembly rooms,1020,Wikipedia category name (en): Grade II* listed assembly rooms
103,Grade II* listed banks,1030,Wikipedia category name (en): Grade II* listed banks
104,Grade II* listed barns in England,1040,Wikipedia category name (en): Grade II* listed barns in England
105,Grade II* listed bridges,1050,Wikipedia category name (en): Grade II* listed bridges
106,Grade II* listed bridges in England,1060,Wikipedia category name (en): Grade II* listed bridges in England
107,Grade II* listed bridges in London,1070,Wikipedia category name (en): Grade II* listed bridges in London
108,Grade II* listed bridges in Wales,1080,Wikipedia category name (en): Grade II* listed bridges in Wales
109,Grade II* listed buildings,1090,Wikipedia category name (en): Grade II* listed buildings
110,Grade II* listed buildings by function,1100,Wikipedia category name (en): Grade II* listed buildings by function
111,Grade II* listed buildings in Anglesey,1110,Wikipedia category name (en): Grade II* listed buildings in Anglesey
112,Grade II* listed buildings in Barking and Dagenham,1120,Wikipedia category name (en): Grade II* listed buildings in Barking and Dagenham
113,Grade II* listed buildings in Barnet,1130,Wikipedia category name (en): Grade II* listed buildings in Barnet
114,"Grade II* listed buildings in Bath, Somerset",1140,"Wikipedia category name (en): Grade II* listed buildings in Bath, Somerset"
115,Grade II* listed buildings in Bath and North East Somerset,1150,Wikipedia category name (en): Grade II* listed buildings in Bath and North East Somerset
116,Grade II* listed buildings in Bedfordshire,1160,Wikipedia category name (en): Grade II* listed buildings in Bedfordshire
117,Grade II* listed buildings in Berkshire,1170,Wikipedia category name (en): Grade II* listed buildings in Berkshire
118,Grade II* listed buildings in Bexley,1180,Wikipedia category name (en): Grade II* listed buildings in Bexley
119,Grade II* listed buildings in Birmingham,1190,Wikipedia category name (en): Grade II* listed buildings in Birmingham
120,Grade II* listed buildings in Blaenau Gwent,1200,Wikipedia category name (en): Grade II* listed buildings in Blaenau Gwent
121,Grade II* listed buildings in Brent,1210,Wikipedia category name (en): Grade II* listed buildings in Brent
122,Grade II* listed buildings in Bridgend County Borough,1220,Wikipedia category name (en): Grade II* listed buildings in Bridgend County Borough
123,Grade II* listed buildings in Brighton and Hove,1230,Wikipedia category name (en): Grade II* listed buildings in Brighton and Hove
124,Grade II* listed buildings in Bristol,1240,Wikipedia category name (en): Grade II* listed buildings in Bristol
125,Grade II* listed buildings in Bromley,1250,Wikipedia category name (en): Grade II* listed buildings in Bromley
126,Grade II* listed buildings in Buckinghamshire,1260,Wikipedia category name (en): Grade II* listed buildings in Buckinghamshire
127,Grade II* listed buildings in Caerphilly County Borough,1270,Wikipedia category name (en): Grade II* listed buildings in Caerphilly County Borough
128,Grade II* listed buildings in Cambridge,1280,Wikipedia category name (en): Grade II* listed buildings in Cambridge
129,Grade II* listed buildings in Cambridgeshire,1290,Wikipedia category name (en): Grade II* listed buildings in Cambridgeshire
130,Grade II* listed buildings in Camden,1300,Wikipedia category name (en): Grade II* listed buildings in Camden
131,Grade II* listed buildings in Cardiff,1310,Wikipedia category name (en): Grade II* listed buildings in Cardiff
132,Grade II* listed buildings in Carmarthenshire,1320,Wikipedia category name (en): Grade II* listed buildings in Carmarthenshire
133,Grade II* listed buildings in Ceredigion,1330,Wikipedia category name (en): Grade II* listed buildings in Ceredigion
134,Grade II* listed buildings in Cheshire,1340,Wikipedia category name (en): Grade II* listed buildings in Cheshire
135,Grade II* listed buildings in Chester,1350,Wikipedia category name (en): Grade II* listed buildings in Chester
136,Grade II* listed buildings in Conwy County Borough,1360,Wikipedia category name (en): Grade II* listed buildings in Conwy County Borough
137,Grade II* listed buildings in Cornwall,1370,Wikipedia category name (en): Grade II* listed buildings in Cornwall
138,Grade II* listed buildings in County Durham,1380,Wikipedia category name (en): Grade II* listed buildings in County Durham
139,Grade II* listed buildings in Croydon,1390,Wikipedia category name (en): Grade II* listed buildings in Croydon
140,Grade II* listed buildings in Cumbria,1400,Wikipedia category name (en): Grade II* listed buildings in Cumbria
141,Grade II* listed buildings in Denbighshire,1410,Wikipedia category name (en): Grade II* listed buildings in Denbighshire
142,Grade II* listed buildings in Derby,1420,Wikipedia category name (en): Grade II* listed buildings in Derby
143,Grade II* listed buildings in Derbyshire,1430,Wikipedia category name (en): Grade II* listed buildings in Derbyshire
144,Grade II* listed buildings in Devon,1440,Wikipedia category name (en): Grade II* listed buildings in Devon
145,Grade II* listed buildings in Dorset,1450,Wikipedia category name (en): Grade II* listed buildings in Dorset
146,Grade II* listed buildings in Ealing,1460,Wikipedia category name (en): Grade II* listed buildings in Ealing
147,Grade II* listed buildings in East Sussex,1470,Wikipedia category name (en): Grade II* listed buildings in East Sussex
148,Grade II* listed buildings in Enfield,1480,Wikipedia category name (en): Grade II* listed buildings in Enfield
149,Grade II* listed buildings in England,1490,Wikipedia category name (en): Grade II* listed buildings in England
150,Grade II* listed buildings in England by city,1500,Wikipedia category name (en): Grade II* listed buildings in England by city
151,Grade II* listed buildings in England by county,1510,Wikipedia category name (en): Grade II* listed buildings in England by county
152,Grade II* listed buildings in England by former county,1520,Wikipedia category name (en): Grade II* listed buildings in England by former county
153,Grade II* listed buildings in Essex,1530,Wikipedia category name (en): Grade II* listed buildings in Essex
154,Grade II* listed buildings in Flintshire,1540,Wikipedia category name (en): Grade II* listed buildings in Flintshire
155,Grade II* listed buildings in Gloucestershire,1550,Wikipedia category name (en): Grade II* listed buildings in Gloucestershire
156,Grade II* listed buildings in Greater Manchester,1560,Wikipedia category name (en): Grade II* listed buildings in Greater Manchester
157,Grade II* listed buildings in Greenwich,1570,Wikipedia category name (en): Grade II* listed buildings in Greenwich
158,Grade II* listed buildings in Gwynedd,1580,Wikipedia category name (en): Grade II* listed buildings in Gwynedd
159,Grade II* listed buildings in Hackney,1590,Wikipedia category name (en): Grade II* listed buildings in Hackney
160,Grade II* listed buildings in Hammersmith and Fulham,1600,Wikipedia category name (en): Grade II* listed buildings in Hammersmith and Fulham
161,Grade II* listed buildings in Hampshire,1610,Wikipedia category name (en): Grade II* listed buildings in Hampshire
162,Grade II* listed buildings in Hampshire by place,1620,Wikipedia category name (en): Grade II* listed buildings in Hampshire by place
163,Grade II* listed buildings in Haringey,1630,Wikipedia category name (en): Grade II* listed buildings in Haringey
164,Grade II* listed buildings in Harrow,1640,Wikipedia category name (en): Grade II* listed buildings in Harrow
165,Grade II* listed buildings in Havering,1650,Wikipedia category name (en): Grade II* listed buildings in Havering
166,Grade II* listed buildings in Herefordshire,1660,Wikipedia category name (en): Grade II* listed buildings in Herefordshire
167,Grade II* listed buildings in Hertfordshire,1670,Wikipedia category name (en): Grade II* listed buildings in Hertfordshire
168,Grade II* listed buildings in Hillingdon,1680,Wikipedia category name (en): Grade II* listed buildings in Hillingdon
169,Grade II* listed buildings in Hitchin,1690,Wikipedia category name (en): Grade II* listed buildings in Hitchin
170,Grade II* listed buildings in Hounslow,1700,Wikipedia category name (en): Grade II* listed buildings in Hounslow
171,Grade II* listed buildings in Ipswich,1710,Wikipedia category name (en): Grade II* listed buildings in Ipswich
172,Grade II* listed buildings in Islington,1720,Wikipedia category name (en): Grade II* listed buildings in Islington
173,Grade II* listed buildings in Kendal,1730,Wikipedia category name (en): Grade II* listed buildings in Kendal
174,Grade II* listed buildings in Kensington and Chelsea,1740,Wikipedia category name (en): Grade II* listed buildings in Kensington and Chelsea
175,Grade II* listed buildings in Kent,1750,Wikipedia category name (en): Grade II* listed buildings in Kent
176,Grade II* listed buildings in Kingston upon Thames,1760,Wikipedia category name (en): Grade II* listed buildings in Kingston upon Thames
177,Grade II* listed buildings in Lambeth,1770,Wikipedia category name (en): Grade II* listed buildings in Lambeth
178,Grade II* listed buildings in Lancashire,1780,Wikipedia category name (en): Grade II* listed buildings in Lancashire
179,Grade II* listed buildings in Leeds,1790,Wikipedia category name (en): Grade II* listed buildings in Leeds
180,Grade II* listed buildings in Leicestershire,1800,Wikipedia category name (en): Grade II* listed buildings in Leicestershire
181,Grade II* listed buildings in Lewisham,1810,Wikipedia category name (en): Grade II* listed buildings in Lewisham
182,Grade II* listed buildings in Lincolnshire,1820,Wikipedia category name (en): Grade II* listed buildings in Lincolnshire
183,Grade II* listed buildings in Liverpool,1830,Wikipedia category name (en): Grade II* listed buildings in Liverpool
184,Grade II* listed buildings in London,1840,Wikipedia category name (en): Grade II* listed buildings in London
185,Grade II* listed buildings in Manchester,1850,Wikipedia category name (en): Grade II* listed buildings in Manchester
186,Grade II* listed buildings in Mendip,1860,Wikipedia category name (en): Grade II* listed buildings in Mendip
187,Grade II* listed buildings in Mendip District,1870,Wikipedia category name (en): Grade II* listed buildings in Mendip District
188,Grade II* listed buildings in Merseyside,1880,Wikipedia category name (en): Grade II* listed buildings in Merseyside
189,Grade II* listed buildings in Merthyr Tydfil,1890,Wikipedia category name (en): Grade II* listed buildings in Merthyr Tydfil
190,Grade II* listed buildings in Merthyr Tydfil County Borough,1900,Wikipedia category name (en): Grade II* listed buildings in Merthyr Tydfil County Borough
191,Grade II* listed buildings in Merton,1910,Wikipedia category name (en): Grade II* listed buildings in Merton
192,Grade II* listed buildings in Monmouth,1920,Wikipedia category name (en): Grade II* listed buildings in Monmouth
193,Grade II* listed buildings in Monmouthshire,1930,Wikipedia category name (en): Grade II* listed buildings in Monmouthshire
194,Grade II* listed buildings in Neath Port Talbot,1940,Wikipedia category name (en): Grade II* listed buildings in Neath Port Talbot
195,Grade II* listed buildings in Newham,1950,Wikipedia category name (en): Grade II* listed buildings in Newham
196,"Grade II* listed buildings in Newport, Wales",1960,"Wikipedia category name (en): Grade II* listed buildings in Newport, Wales"
197,Grade II* listed buildings in Norfolk,1970,Wikipedia category name (en): Grade II* listed buildings in Norfolk
198,Grade II* listed buildings in North Lincolnshire,1980,Wikipedia category name (en): Grade II* listed buildings in North Lincolnshire
199,Grade II* listed buildings in North Somerset,1990,Wikipedia category name (en): Grade II* listed buildings in North Somerset
200,Grade II* listed buildings in North Yorkshire,2000,Wikipedia category name (en): Grade II* listed buildings in North Yorkshire
