id,roadmap_id,course_id,sequence,priority,timeframe,status,recommendation_reason,similarity_score
1,1,1,10,high,short,pending,Gợi ý khóa #1 cho roadmap 1,55.00
2,1,12,20,medium,medium,in_progress,Gợi ý khóa #12 cho roadmap 1,62.00
3,1,23,30,low,long,completed,Gợi ý khóa #23 cho roadmap 1,69.00
4,2,2,10,medium,medium,in_progress,Gợi ý khóa #2 cho roadmap 2,56.00
5,2,13,20,low,long,completed,Gợi ý khóa #13 cho roadmap 2,63.00
6,2,24,30,high,short,skipped,Gợi ý khóa #24 cho roadmap 2,70.00
7,3,3,10,low,long,completed,Gợi ý khóa #3 cho roadmap 3,57.00
8,3,14,20,high,short,skipped,Gợi ý khóa #14 cho roadmap 3,64.00
9,3,25,30,medium,medium,pending,Gợi ý khóa #25 cho roadmap 3,71.00
10,4,4,10,high,short,skipped,Gợi ý khóa #4 cho roadmap 4,58.00
11,4,15,20,medium,medium,pending,Gợi ý khóa #15 cho roadmap 4,65.00
12,4,26,30,low,long,in_progress,Gợi ý khóa #26 cho roadmap 4,72.00
13,5,5,10,medium,medium,pending,Gợi ý khóa #5 cho roadmap 5,59.00
14,5,16,20,low,long,in_progress,Gợi ý khóa #16 cho roadmap 5,66.00
15,5,27,30,high,short,completed,Gợi ý khóa #27 cho roadmap 5,73.00
16,6,6,10,low,long,in_progress,Gợi ý khóa #6 cho roadmap 6,60.00
17,6,17,20,high,short,completed,Gợi ý khóa #17 cho roadmap 6,67.00
18,6,28,30,medium,medium,skipped,Gợi ý khóa #28 cho roadmap 6,74.00
19,7,7,10,high,short,completed,Gợi ý khóa #7 cho roadmap 7,61.00
20,7,18,20,medium,medium,skipped,Gợi ý khóa #18 cho roadmap 7,68.00
21,7,29,30,low,long,pending,Gợi ý khóa #29 cho roadmap 7,75.00
22,8,8,10,medium,medium,skipped,Gợi ý khóa #8 cho roadmap 8,62.00
23,8,19,20,low,long,pending,Gợi ý khóa #19 cho roadmap 8,69.00
24,8,30,30,high,short,in_progress,Gợi ý khóa #30 cho roadmap 8,76.00
25,9,9,10,low,long,pending,Gợi ý khóa #9 cho roadmap 9,63.00
26,9,20,20,high,short,in_progress,Gợi ý khóa #20 cho roadmap 9,70.00
27,9,31,30,medium,medium,completed,Gợi ý khóa #31 cho roadmap 9,77.00
28,10,10,10,high,short,in_progress,Gợi ý khóa #10 cho roadmap 10,64.00
29,10,21,20,medium,medium,completed,Gợi ý khóa #21 cho roadmap 10,71.00
30,10,32,30,low,long,skipped,Gợi ý khóa #32 cho roadmap 10,78.00
31,11,11,10,medium,medium,completed,Gợi ý khóa #11 cho roadmap 11,65.00
32,11,22,20,low,long,skipped,Gợi ý khóa #22 cho roadmap 11,72.00
33,11,33,30,high,short,pending,Gợi ý khóa #33 cho roadmap 11,79.00
34,12,12,10,low,long,skipped,Gợi ý khóa #12 cho roadmap 12,66.00
35,12,23,20,high,short,pending,Gợi ý khóa #23 cho roadmap 12,73.00
36,12,34,30,medium,medium,in_progress,Gợi ý khóa #34 cho roadmap 12,80.00
37,13,13,10,high,short,pending,Gợi ý khóa #13 cho roadmap 13,67.00
38,13,24,20,medium,medium,in_progress,Gợi ý khóa #24 cho roadmap 13,74.00
39,13,35,30,low,long,completed,Gợi ý khóa #35 cho roadmap 13,81.00
40,14,14,10,medium,medium,in_progress,Gợi ý khóa #14 cho roadmap 14,68.00
41,14,25,20,low,long,completed,Gợi ý khóa #25 cho roadmap 14,75.00
42,14,36,30,high,short,skipped,Gợi ý khóa #36 cho roadmap 14,82.00
43,15,15,10,low,long,completed,Gợi ý khóa #15 cho roadmap 15,69.00
44,15,26,20,high,short,skipped,Gợi ý khóa #26 cho roadmap 15,76.00
45,15,37,30,medium,medium,pending,Gợi ý khóa #37 cho roadmap 15,83.00
46,16,16,10,high,short,skipped,Gợi ý khóa #16 cho roadmap 16,70.00
47,16,27,20,medium,medium,pending,Gợi ý khóa #27 cho roadmap 16,77.00
48,16,38,30,low,long,in_progress,Gợi ý khóa #38 cho roadmap 16,84.00
49,17,17,10,medium,medium,pending,Gợi ý khóa #17 cho roadmap 17,71.00
50,17,28,20,low,long,in_progress,Gợi ý khóa #28 cho roadmap 17,78.00
51,17,39,30,high,short,completed,Gợi ý khóa #39 cho roadmap 17,85.00
52,18,18,10,low,long,in_progress,Gợi ý khóa #18 cho roadmap 18,72.00
53,18,29,20,high,short,completed,Gợi ý khóa #29 cho roadmap 18,79.00
54,18,40,30,medium,medium,skipped,Gợi ý khóa #40 cho roadmap 18,86.00
55,19,19,10,high,short,completed,Gợi ý khóa #19 cho roadmap 19,73.00
56,19,30,20,medium,medium,skipped,Gợi ý khóa #30 cho roadmap 19,80.00
57,19,41,30,low,long,pending,Gợi ý khóa #41 cho roadmap 19,87.00
58,20,20,10,medium,medium,skipped,Gợi ý khóa #20 cho roadmap 20,74.00
59,20,31,20,low,long,pending,Gợi ý khóa #31 cho roadmap 20,81.00
60,20,42,30,high,short,in_progress,Gợi ý khóa #42 cho roadmap 20,88.00
61,21,21,10,low,long,pending,Gợi ý khóa #21 cho roadmap 21,75.00
62,21,32,20,high,short,in_progress,Gợi ý khóa #32 cho roadmap 21,82.00
63,21,43,30,medium,medium,completed,Gợi ý khóa #43 cho roadmap 21,89.00
64,22,22,10,high,short,in_progress,Gợi ý khóa #22 cho roadmap 22,76.00
65,22,33,20,medium,medium,completed,Gợi ý khóa #33 cho roadmap 22,83.00
66,22,44,30,low,long,skipped,Gợi ý khóa #44 cho roadmap 22,90.00
67,23,23,10,medium,medium,completed,Gợi ý khóa #23 cho roadmap 23,77.00
68,23,34,20,low,long,skipped,Gợi ý khóa #34 cho roadmap 23,84.00
69,23,45,30,high,short,pending,Gợi ý khóa #45 cho roadmap 23,91.00
70,24,24,10,low,long,skipped,Gợi ý khóa #24 cho roadmap 24,78.00
71,24,35,20,high,short,pending,Gợi ý khóa #35 cho roadmap 24,85.00
72,24,46,30,medium,medium,in_progress,Gợi ý khóa #46 cho roadmap 24,92.00
73,25,25,10,high,short,pending,Gợi ý khóa #25 cho roadmap 25,79.00
74,25,36,20,medium,medium,in_progress,Gợi ý khóa #36 cho roadmap 25,86.00
75,25,47,30,low,long,completed,Gợi ý khóa #47 cho roadmap 25,93.00
76,26,26,10,medium,medium,in_progress,Gợi ý khóa #26 cho roadmap 26,80.00
77,26,37,20,low,long,completed,Gợi ý khóa #37 cho roadmap 26,87.00
78,26,48,30,high,short,skipped,Gợi ý khóa #48 cho roadmap 26,94.00
79,27,27,10,low,long,completed,Gợi ý khóa #27 cho roadmap 27,81.00
80,27,38,20,high,short,skipped,Gợi ý khóa #38 cho roadmap 27,88.00
81,27,49,30,medium,medium,pending,Gợi ý khóa #49 cho roadmap 27,55.00
82,28,28,10,high,short,skipped,Gợi ý khóa #28 cho roadmap 28,82.00
83,28,39,20,medium,medium,pending,Gợi ý khóa #39 cho roadmap 28,89.00
84,28,50,30,low,long,in_progress,Gợi ý khóa #50 cho roadmap 28,56.00
85,29,29,10,medium,medium,pending,Gợi ý khóa #29 cho roadmap 29,83.00
86,29,40,20,low,long,in_progress,Gợi ý khóa #40 cho roadmap 29,90.00
87,29,51,30,high,short,completed,Gợi ý khóa #51 cho roadmap 29,57.00
88,30,30,10,low,long,in_progress,Gợi ý khóa #30 cho roadmap 30,84.00
89,30,41,20,high,short,completed,Gợi ý khóa #41 cho roadmap 30,91.00
90,30,52,30,medium,medium,skipped,Gợi ý khóa #52 cho roadmap 30,58.00
91,31,31,10,high,short,completed,Gợi ý khóa #31 cho roadmap 31,85.00
92,31,42,20,medium,medium,skipped,Gợi ý khóa #42 cho roadmap 31,92.00
93,31,53,30,low,long,pending,Gợi ý khóa #53 cho roadmap 31,59.00
94,32,32,10,medium,medium,skipped,Gợi ý khóa #32 cho roadmap 32,86.00
95,32,43,20,low,long,pending,Gợi ý khóa #43 cho roadmap 32,93.00
96,32,54,30,high,short,in_progress,Gợi ý khóa #54 cho roadmap 32,60.00
97,33,33,10,low,long,pending,Gợi ý khóa #33 cho roadmap 33,87.00
98,33,44,20,high,short,in_progress,Gợi ý khóa #44 cho roadmap 33,94.00
99,33,55,30,medium,medium,completed,Gợi ý khóa #55 cho roadmap 33,61.00
100,34,34,10,high,short,in_progress,Gợi ý khóa #34 cho roadmap 34,88.00
101,34,45,20,medium,medium,completed,Gợi ý khóa #45 cho roadmap 34,55.00
102,34,56,30,low,long,skipped,Gợi ý khóa #56 cho roadmap 34,62.00
103,35,35,10,medium,medium,completed,Gợi ý khóa #35 cho roadmap 35,89.00
104,35,46,20,low,long,skipped,Gợi ý khóa #46 cho roadmap 35,56.00
105,35,57,30,high,short,pending,Gợi ý khóa #57 cho roadmap 35,63.00
106,36,36,10,low,long,skipped,Gợi ý khóa #36 cho roadmap 36,90.00
107,36,47,20,high,short,pending,Gợi ý khóa #47 cho roadmap 36,57.00
108,36,58,30,medium,medium,in_progress,Gợi ý khóa #58 cho roadmap 36,64.00
109,37,37,10,high,short,pending,Gợi ý khóa #37 cho roadmap 37,91.00
110,37,48,20,medium,medium,in_progress,Gợi ý khóa #48 cho roadmap 37,58.00
111,37,59,30,low,long,completed,Gợi ý khóa #59 cho roadmap 37,65.00
112,38,38,10,medium,medium,in_progress,Gợi ý khóa #38 cho roadmap 38,92.00
113,38,49,20,low,long,completed,Gợi ý khóa #49 cho roadmap 38,59.00
114,38,60,30,high,short,skipped,Gợi ý khóa #60 cho roadmap 38,66.00
115,39,39,10,low,long,completed,Gợi ý khóa #39 cho roadmap 39,93.00
116,39,50,20,high,short,skipped,Gợi ý khóa #50 cho roadmap 39,60.00
117,39,61,30,medium,medium,pending,Gợi ý khóa #61 cho roadmap 39,67.00
118,40,40,10,high,short,skipped,Gợi ý khóa #40 cho roadmap 40,94.00
119,40,51,20,medium,medium,pending,Gợi ý khóa #51 cho roadmap 40,61.00
120,40,62,30,low,long,in_progress,Gợi ý khóa #62 cho roadmap 40,68.00
121,41,41,10,medium,medium,pending,Gợi ý khóa #41 cho roadmap 41,55.00
122,41,52,20,low,long,in_progress,Gợi ý khóa #52 cho roadmap 41,62.00
123,41,63,30,high,short,completed,Gợi ý khóa #63 cho roadmap 41,69.00
124,42,42,10,low,long,in_progress,Gợi ý khóa #42 cho roadmap 42,56.00
125,42,53,20,high,short,completed,Gợi ý khóa #53 cho roadmap 42,63.00
126,42,64,30,medium,medium,skipped,Gợi ý khóa #64 cho roadmap 42,70.00
127,43,43,10,high,short,completed,Gợi ý khóa #43 cho roadmap 43,57.00
128,43,54,20,medium,medium,skipped,Gợi ý khóa #54 cho roadmap 43,64.00
129,43,65,30,low,long,pending,Gợi ý khóa #65 cho roadmap 43,71.00
130,44,44,10,medium,medium,skipped,Gợi ý khóa #44 cho roadmap 44,58.00
131,44,55,20,low,long,pending,Gợi ý khóa #55 cho roadmap 44,65.00
132,44,66,30,high,short,in_progress,Gợi ý khóa #66 cho roadmap 44,72.00
133,45,45,10,low,long,pending,Gợi ý khóa #45 cho roadmap 45,59.00
134,45,56,20,high,short,in_progress,Gợi ý khóa #56 cho roadmap 45,66.00
135,45,67,30,medium,medium,completed,Gợi ý khóa #67 cho roadmap 45,73.00
136,46,46,10,high,short,in_progress,Gợi ý khóa #46 cho roadmap 46,60.00
137,46,57,20,medium,medium,completed,Gợi ý khóa #57 cho roadmap 46,67.00
138,46,68,30,low,long,skipped,Gợi ý khóa #68 cho roadmap 46,74.00
139,47,47,10,medium,medium,completed,Gợi ý khóa #47 cho roadmap 47,61.00
140,47,58,20,low,long,skipped,Gợi ý khóa #58 cho roadmap 47,68.00
141,47,69,30,high,short,pending,Gợi ý khóa #69 cho roadmap 47,75.00
142,48,48,10,low,long,skipped,Gợi ý khóa #48 cho roadmap 48,62.00
143,48,59,20,high,short,pending,Gợi ý khóa #59 cho roadmap 48,69.00
144,48,70,30,medium,medium,in_progress,Gợi ý khóa #70 cho roadmap 48,76.00
145,49,49,10,high,short,pending,Gợi ý khóa #49 cho roadmap 49,63.00
146,49,60,20,medium,medium,in_progress,Gợi ý khóa #60 cho roadmap 49,70.00
147,49,71,30,low,long,completed,Gợi ý khóa #71 cho roadmap 49,77.00
148,50,50,10,medium,medium,in_progress,Gợi ý khóa #50 cho roadmap 50,64.00
149,50,61,20,low,long,completed,Gợi ý khóa #61 cho roadmap 50,71.00
150,50,72,30,high,short,skipped,Gợi ý khóa #72 cho roadmap 50,78.00
151,51,51,10,low,long,completed,Gợi ý khóa #51 cho roadmap 51,65.00
152,51,62,20,high,short,skipped,Gợi ý khóa #62 cho roadmap 51,72.00
153,51,73,30,medium,medium,pending,Gợi ý khóa #73 cho roadmap 51,79.00
154,52,52,10,high,short,skipped,Gợi ý khóa #52 cho roadmap 52,66.00
155,52,63,20,medium,medium,pending,Gợi ý khóa #63 cho roadmap 52,73.00
156,52,74,30,low,long,in_progress,Gợi ý khóa #74 cho roadmap 52,80.00
157,53,53,10,medium,medium,pending,Gợi ý khóa #53 cho roadmap 53,67.00
158,53,64,20,low,long,in_progress,Gợi ý khóa #64 cho roadmap 53,74.00
159,53,75,30,high,short,completed,Gợi ý khóa #75 cho roadmap 53,81.00
160,54,54,10,low,long,in_progress,Gợi ý khóa #54 cho roadmap 54,68.00
161,54,65,20,high,short,completed,Gợi ý khóa #65 cho roadmap 54,75.00
162,54,76,30,medium,medium,skipped,Gợi ý khóa #76 cho roadmap 54,82.00
163,55,55,10,high,short,completed,Gợi ý khóa #55 cho roadmap 55,69.00
164,55,66,20,medium,medium,skipped,Gợi ý khóa #66 cho roadmap 55,76.00
165,55,77,30,low,long,pending,Gợi ý khóa #77 cho roadmap 55,83.00
166,56,56,10,medium,medium,skipped,Gợi ý khóa #56 cho roadmap 56,70.00
167,56,67,20,low,long,pending,Gợi ý khóa #67 cho roadmap 56,77.00
168,56,78,30,high,short,in_progress,Gợi ý khóa #78 cho roadmap 56,84.00
169,57,57,10,low,long,pending,Gợi ý khóa #57 cho roadmap 57,71.00
170,57,68,20,high,short,in_progress,Gợi ý khóa #68 cho roadmap 57,78.00
171,57,79,30,medium,medium,completed,Gợi ý khóa #79 cho roadmap 57,85.00
172,58,58,10,high,short,in_progress,Gợi ý khóa #58 cho roadmap 58,72.00
173,58,69,20,medium,medium,completed,Gợi ý khóa #69 cho roadmap 58,79.00
174,58,80,30,low,long,skipped,Gợi ý khóa #80 cho roadmap 58,86.00
175,59,59,10,medium,medium,completed,Gợi ý khóa #59 cho roadmap 59,73.00
176,59,70,20,low,long,skipped,Gợi ý khóa #70 cho roadmap 59,80.00
177,59,81,30,high,short,pending,Gợi ý khóa #81 cho roadmap 59,87.00
178,60,60,10,low,long,skipped,Gợi ý khóa #60 cho roadmap 60,74.00
179,60,71,20,high,short,pending,Gợi ý khóa #71 cho roadmap 60,81.00
180,60,82,30,medium,medium,in_progress,Gợi ý khóa #82 cho roadmap 60,88.00
181,61,61,10,high,short,pending,Gợi ý khóa #61 cho roadmap 61,75.00
182,61,72,20,medium,medium,in_progress,Gợi ý khóa #72 cho roadmap 61,82.00
183,61,83,30,low,long,completed,Gợi ý khóa #83 cho roadmap 61,89.00
184,62,62,10,medium,medium,in_progress,Gợi ý khóa #62 cho roadmap 62,76.00
185,62,73,20,low,long,completed,Gợi ý khóa #73 cho roadmap 62,83.00
186,62,84,30,high,short,skipped,Gợi ý khóa #84 cho roadmap 62,90.00
187,63,63,10,low,long,completed,Gợi ý khóa #63 cho roadmap 63,77.00
188,63,74,20,high,short,skipped,Gợi ý khóa #74 cho roadmap 63,84.00
189,63,85,30,medium,medium,pending,Gợi ý khóa #85 cho roadmap 63,91.00
190,64,64,10,high,short,skipped,Gợi ý khóa #64 cho roadmap 64,78.00
191,64,75,20,medium,medium,pending,Gợi ý khóa #75 cho roadmap 64,85.00
192,64,86,30,low,long,in_progress,Gợi ý khóa #86 cho roadmap 64,92.00
193,65,65,10,medium,medium,pending,Gợi ý khóa #65 cho roadmap 65,79.00
194,65,76,20,low,long,in_progress,Gợi ý khóa #76 cho roadmap 65,86.00
195,65,87,30,high,short,completed,Gợi ý khóa #87 cho roadmap 65,93.00
196,66,66,10,low,long,in_progress,Gợi ý khóa #66 cho roadmap 66,80.00
197,66,77,20,high,short,completed,Gợi ý khóa #77 cho roadmap 66,87.00
198,66,88,30,medium,medium,skipped,Gợi ý khóa #88 cho roadmap 66,94.00
199,67,67,10,high,short,completed,Gợi ý khóa #67 cho roadmap 67,81.00
200,67,78,20,medium,medium,skipped,Gợi ý khóa #78 cho roadmap 67,88.00
201,67,89,30,low,long,pending,Gợi ý khóa #89 cho roadmap 67,55.00
202,68,68,10,medium,medium,skipped,Gợi ý khóa #68 cho roadmap 68,82.00
203,68,79,20,low,long,pending,Gợi ý khóa #79 cho roadmap 68,89.00
204,68,90,30,high,short,in_progress,Gợi ý khóa #90 cho roadmap 68,56.00
205,69,69,10,low,long,pending,Gợi ý khóa #69 cho roadmap 69,83.00
206,69,80,20,high,short,in_progress,Gợi ý khóa #80 cho roadmap 69,90.00
207,69,91,30,medium,medium,completed,Gợi ý khóa #91 cho roadmap 69,57.00
208,70,70,10,high,short,in_progress,Gợi ý khóa #70 cho roadmap 70,84.00
209,70,81,20,medium,medium,completed,Gợi ý khóa #81 cho roadmap 70,91.00
210,70,92,30,low,long,skipped,Gợi ý khóa #92 cho roadmap 70,58.00
211,71,71,10,medium,medium,completed,Gợi ý khóa #71 cho roadmap 71,85.00
212,71,82,20,low,long,skipped,Gợi ý khóa #82 cho roadmap 71,92.00
213,71,93,30,high,short,pending,Gợi ý khóa #93 cho roadmap 71,59.00
214,72,72,10,low,long,skipped,Gợi ý khóa #72 cho roadmap 72,86.00
215,72,83,20,high,short,pending,Gợi ý khóa #83 cho roadmap 72,93.00
216,72,94,30,medium,medium,in_progress,Gợi ý khóa #94 cho roadmap 72,60.00
217,73,73,10,high,short,pending,Gợi ý khóa #73 cho roadmap 73,87.00
218,73,84,20,medium,medium,in_progress,Gợi ý khóa #84 cho roadmap 73,94.00
219,73,95,30,low,long,completed,Gợi ý khóa #95 cho roadmap 73,61.00
220,74,74,10,medium,medium,in_progress,Gợi ý khóa #74 cho roadmap 74,88.00
221,74,85,20,low,long,completed,Gợi ý khóa #85 cho roadmap 74,55.00
222,74,96,30,high,short,skipped,Gợi ý khóa #96 cho roadmap 74,62.00
223,75,75,10,low,long,completed,Gợi ý khóa #75 cho roadmap 75,89.00
224,75,86,20,high,short,skipped,Gợi ý khóa #86 cho roadmap 75,56.00
225,75,97,30,medium,medium,pending,Gợi ý khóa #97 cho roadmap 75,63.00
226,76,76,10,high,short,skipped,Gợi ý khóa #76 cho roadmap 76,90.00
227,76,87,20,medium,medium,pending,Gợi ý khóa #87 cho roadmap 76,57.00
228,76,98,30,low,long,in_progress,Gợi ý khóa #98 cho roadmap 76,64.00
229,77,77,10,medium,medium,pending,Gợi ý khóa #77 cho roadmap 77,91.00
230,77,88,20,low,long,in_progress,Gợi ý khóa #88 cho roadmap 77,58.00
231,77,99,30,high,short,completed,Gợi ý khóa #99 cho roadmap 77,65.00
232,78,78,10,low,long,in_progress,Gợi ý khóa #78 cho roadmap 78,92.00
233,78,89,20,high,short,completed,Gợi ý khóa #89 cho roadmap 78,59.00
234,78,100,30,medium,medium,skipped,Gợi ý khóa #100 cho roadmap 78,66.00
235,79,79,10,high,short,completed,Gợi ý khóa #79 cho roadmap 79,93.00
236,79,90,20,medium,medium,skipped,Gợi ý khóa #90 cho roadmap 79,60.00
237,79,101,30,low,long,pending,Gợi ý khóa #101 cho roadmap 79,67.00
238,80,80,10,medium,medium,skipped,Gợi ý khóa #80 cho roadmap 80,94.00
239,80,91,20,low,long,pending,Gợi ý khóa #91 cho roadmap 80,61.00
240,80,102,30,high,short,in_progress,Gợi ý khóa #102 cho roadmap 80,68.00
241,81,81,10,low,long,pending,Gợi ý khóa #81 cho roadmap 81,55.00
242,81,92,20,high,short,in_progress,Gợi ý khóa #92 cho roadmap 81,62.00
243,81,103,30,medium,medium,completed,Gợi ý khóa #103 cho roadmap 81,69.00
244,82,82,10,high,short,in_progress,Gợi ý khóa #82 cho roadmap 82,56.00
245,82,93,20,medium,medium,completed,Gợi ý khóa #93 cho roadmap 82,63.00
246,82,104,30,low,long,skipped,Gợi ý khóa #104 cho roadmap 82,70.00
247,83,83,10,medium,medium,completed,Gợi ý khóa #83 cho roadmap 83,57.00
248,83,94,20,low,long,skipped,Gợi ý khóa #94 cho roadmap 83,64.00
249,83,105,30,high,short,pending,Gợi ý khóa #105 cho roadmap 83,71.00
250,84,84,10,low,long,skipped,Gợi ý khóa #84 cho roadmap 84,58.00
251,84,95,20,high,short,pending,Gợi ý khóa #95 cho roadmap 84,65.00
252,84,106,30,medium,medium,in_progress,Gợi ý khóa #106 cho roadmap 84,72.00
253,85,85,10,high,short,pending,Gợi ý khóa #85 cho roadmap 85,59.00
254,85,96,20,medium,medium,in_progress,Gợi ý khóa #96 cho roadmap 85,66.00
255,85,107,30,low,long,completed,Gợi ý khóa #107 cho roadmap 85,73.00
256,86,86,10,medium,medium,in_progress,Gợi ý khóa #86 cho roadmap 86,60.00
257,86,97,20,low,long,completed,Gợi ý khóa #97 cho roadmap 86,67.00
258,86,108,30,high,short,skipped,Gợi ý khóa #108 cho roadmap 86,74.00
259,87,87,10,low,long,completed,Gợi ý khóa #87 cho roadmap 87,61.00
260,87,98,20,high,short,skipped,Gợi ý khóa #98 cho roadmap 87,68.00
261,87,109,30,medium,medium,pending,Gợi ý khóa #109 cho roadmap 87,75.00
262,88,88,10,high,short,skipped,Gợi ý khóa #88 cho roadmap 88,62.00
263,88,99,20,medium,medium,pending,Gợi ý khóa #99 cho roadmap 88,69.00
264,88,110,30,low,long,in_progress,Gợi ý khóa #110 cho roadmap 88,76.00
265,89,89,10,medium,medium,pending,Gợi ý khóa #89 cho roadmap 89,63.00
266,89,100,20,low,long,in_progress,Gợi ý khóa #100 cho roadmap 89,70.00
267,89,111,30,high,short,completed,Gợi ý khóa #111 cho roadmap 89,77.00
268,90,90,10,low,long,in_progress,Gợi ý khóa #90 cho roadmap 90,64.00
269,90,101,20,high,short,completed,Gợi ý khóa #101 cho roadmap 90,71.00
270,90,112,30,medium,medium,skipped,Gợi ý khóa #112 cho roadmap 90,78.00
271,91,91,10,high,short,completed,Gợi ý khóa #91 cho roadmap 91,65.00
272,91,102,20,medium,medium,skipped,Gợi ý khóa #102 cho roadmap 91,72.00
273,91,113,30,low,long,pending,Gợi ý khóa #113 cho roadmap 91,79.00
274,92,92,10,medium,medium,skipped,Gợi ý khóa #92 cho roadmap 92,66.00
275,92,103,20,low,long,pending,Gợi ý khóa #103 cho roadmap 92,73.00
276,92,114,30,high,short,in_progress,Gợi ý khóa #114 cho roadmap 92,80.00
277,93,93,10,low,long,pending,Gợi ý khóa #93 cho roadmap 93,67.00
278,93,104,20,high,short,in_progress,Gợi ý khóa #104 cho roadmap 93,74.00
279,93,115,30,medium,medium,completed,Gợi ý khóa #115 cho roadmap 93,81.00
280,94,94,10,high,short,in_progress,Gợi ý khóa #94 cho roadmap 94,68.00
281,94,105,20,medium,medium,completed,Gợi ý khóa #105 cho roadmap 94,75.00
282,94,116,30,low,long,skipped,Gợi ý khóa #116 cho roadmap 94,82.00
283,95,95,10,medium,medium,completed,Gợi ý khóa #95 cho roadmap 95,69.00
284,95,106,20,low,long,skipped,Gợi ý khóa #106 cho roadmap 95,76.00
285,95,117,30,high,short,pending,Gợi ý khóa #117 cho roadmap 95,83.00
286,96,96,10,low,long,skipped,Gợi ý khóa #96 cho roadmap 96,70.00
287,96,107,20,high,short,pending,Gợi ý khóa #107 cho roadmap 96,77.00
288,96,118,30,medium,medium,in_progress,Gợi ý khóa #118 cho roadmap 96,84.00
289,97,97,10,high,short,pending,Gợi ý khóa #97 cho roadmap 97,71.00
290,97,108,20,medium,medium,in_progress,Gợi ý khóa #108 cho roadmap 97,78.00
291,97,119,30,low,long,completed,Gợi ý khóa #119 cho roadmap 97,85.00
292,98,98,10,medium,medium,in_progress,Gợi ý khóa #98 cho roadmap 98,72.00
293,98,109,20,low,long,completed,Gợi ý khóa #109 cho roadmap 98,79.00
294,98,120,30,high,short,skipped,Gợi ý khóa #120 cho roadmap 98,86.00
295,99,99,10,low,long,completed,Gợi ý khóa #99 cho roadmap 99,73.00
296,99,110,20,high,short,skipped,Gợi ý khóa #110 cho roadmap 99,80.00
297,99,121,30,medium,medium,pending,Gợi ý khóa #121 cho roadmap 99,87.00
298,100,100,10,high,short,skipped,Gợi ý khóa #100 cho roadmap 100,74.00
299,100,111,20,medium,medium,pending,Gợi ý khóa #111 cho roadmap 100,81.00
300,100,122,30,low,long,in_progress,Gợi ý khóa #122 cho roadmap 100,88.00
301,101,101,10,medium,medium,pending,Gợi ý khóa #101 cho roadmap 101,75.00
302,101,112,20,low,long,in_progress,Gợi ý khóa #112 cho roadmap 101,82.00
303,101,123,30,high,short,completed,Gợi ý khóa #123 cho roadmap 101,89.00
304,102,102,10,low,long,in_progress,Gợi ý khóa #102 cho roadmap 102,76.00
305,102,113,20,high,short,completed,Gợi ý khóa #113 cho roadmap 102,83.00
306,102,124,30,medium,medium,skipped,Gợi ý khóa #124 cho roadmap 102,90.00
307,103,103,10,high,short,completed,Gợi ý khóa #103 cho roadmap 103,77.00
