id,roadmap_id,course_id,sequence,priority,timeframe,status,recommendation_reason,similarity_score
308,103,114,20,medium,medium,skipped,Gợi ý khóa #114 cho roadmap 103,84.00
309,103,125,30,low,long,pending,Gợi ý khóa #125 cho roadmap 103,91.00
310,104,104,10,medium,medium,skipped,Gợi ý khóa #104 cho roadmap 104,78.00
311,104,115,20,low,long,pending,Gợi ý khóa #115 cho roadmap 104,85.00
312,104,126,30,high,short,in_progress,Gợi ý khóa #126 cho roadmap 104,92.00
313,105,105,10,low,long,pending,Gợi ý khóa #105 cho roadmap 105,79.00
314,105,116,20,high,short,in_progress,Gợi ý khóa #116 cho roadmap 105,86.00
315,105,127,30,medium,medium,completed,Gợi ý khóa #127 cho roadmap 105,93.00
316,106,106,10,high,short,in_progress,Gợi ý khóa #106 cho roadmap 106,80.00
317,106,117,20,medium,medium,completed,Gợi ý khóa #117 cho roadmap 106,87.00
318,106,128,30,low,long,skipped,Gợi ý khóa #128 cho roadmap 106,94.00
319,107,107,10,medium,medium,completed,Gợi ý khóa #107 cho roadmap 107,81.00
320,107,118,20,low,long,skipped,Gợi ý khóa #118 cho roadmap 107,88.00
321,107,129,30,high,short,pending,Gợi ý khóa #129 cho roadmap 107,55.00
322,108,108,10,low,long,skipped,Gợi ý khóa #108 cho roadmap 108,82.00
323,108,119,20,high,short,pending,Gợi ý khóa #119 cho roadmap 108,89.00
324,108,130,30,medium,medium,in_progress,Gợi ý khóa #130 cho roadmap 108,56.00
325,109,109,10,high,short,pending,Gợi ý khóa #109 cho roadmap 109,83.00
326,109,120,20,medium,medium,in_progress,Gợi ý khóa #120 cho roadmap 109,90.00
327,109,131,30,low,long,completed,Gợi ý khóa #131 cho roadmap 109,57.00
328,110,110,10,medium,medium,in_progress,Gợi ý khóa #110 cho roadmap 110,84.00
329,110,121,20,low,long,completed,Gợi ý khóa #121 cho roadmap 110,91.00
330,110,132,30,high,short,skipped,Gợi ý khóa #132 cho roadmap 110,58.00
331,111,111,10,low,long,completed,Gợi ý khóa #111 cho roadmap 111,85.00
332,111,122,20,high,short,skipped,Gợi ý khóa #122 cho roadmap 111,92.00
333,111,133,30,medium,medium,pending,Gợi ý khóa #133 cho roadmap 111,59.00
334,112,112,10,high,short,skipped,Gợi ý khóa #112 cho roadmap 112,86.00
335,112,123,20,medium,medium,pending,Gợi ý khóa #123 cho roadmap 112,93.00
336,112,134,30,low,long,in_progress,Gợi ý khóa #134 cho roadmap 112,60.00
337,113,113,10,medium,medium,pending,Gợi ý khóa #113 cho roadmap 113,87.00
338,113,124,20,low,long,in_progress,Gợi ý khóa #124 cho roadmap 113,94.00
339,113,135,30,high,short,completed,Gợi ý khóa #135 cho roadmap 113,61.00
340,114,114,10,low,long,in_progress,Gợi ý khóa #114 cho roadmap 114,88.00
341,114,125,20,high,short,completed,Gợi ý khóa #125 cho roadmap 114,55.00
342,114,136,30,medium,medium,skipped,Gợi ý khóa #136 cho roadmap 114,62.00
343,115,115,10,high,short,completed,Gợi ý khóa #115 cho roadmap 115,89.00
344,115,126,20,medium,medium,skipped,Gợi ý khóa #126 cho roadmap 115,56.00
345,115,137,30,low,long,pending,Gợi ý khóa #137 cho roadmap 115,63.00
346,116,116,10,medium,medium,skipped,Gợi ý khóa #116 cho roadmap 116,90.00
347,116,127,20,low,long,pending,Gợi ý khóa #127 cho roadmap 116,57.00
348,116,138,30,high,short,in_progress,Gợi ý khóa #138 cho roadmap 116,64.00
349,117,117,10,low,long,pending,Gợi ý khóa #117 cho roadmap 117,91.00
350,117,128,20,high,short,in_progress,Gợi ý khóa #128 cho roadmap 117,58.00
351,117,139,30,medium,medium,completed,Gợi ý khóa #139 cho roadmap 117,65.00
352,118,118,10,high,short,in_progress,Gợi ý khóa #118 cho roadmap 118,92.00
353,118,129,20,medium,medium,completed,Gợi ý khóa #129 cho roadmap 118,59.00
354,118,140,30,low,long,skipped,Gợi ý khóa #140 cho roadmap 118,66.00
355,119,119,10,medium,medium,completed,Gợi ý khóa #119 cho roadmap 119,93.00
356,119,130,20,low,long,skipped,Gợi ý khóa #130 cho roadmap 119,60.00
357,119,141,30,high,short,pending,Gợi ý khóa #141 cho roadmap 119,67.00
358,120,120,10,low,long,skipped,Gợi ý khóa #120 cho roadmap 120,94.00
359,120,131,20,high,short,pending,Gợi ý khóa #131 cho roadmap 120,61.00
360,120,142,30,medium,medium,in_progress,Gợi ý khóa #142 cho roadmap 120,68.00
361,121,121,10,high,short,pending,Gợi ý khóa #121 cho roadmap 121,55.00
362,121,132,20,medium,medium,in_progress,Gợi ý khóa #132 cho roadmap 121,62.00
363,121,143,30,low,long,completed,Gợi ý khóa #143 cho roadmap 121,69.00
364,122,122,10,medium,medium,in_progress,Gợi ý khóa #122 cho roadmap 122,56.00
365,122,133,20,low,long,completed,Gợi ý khóa #133 cho roadmap 122,63.00
366,122,144,30,high,short,skipped,Gợi ý khóa #144 cho roadmap 122,70.00
367,123,123,10,low,long,completed,Gợi ý khóa #123 cho roadmap 123,57.00
368,123,134,20,high,short,skipped,Gợi ý khóa #134 cho roadmap 123,64.00
369,123,145,30,medium,medium,pending,Gợi ý khóa #145 cho roadmap 123,71.00
370,124,124,10,high,short,skipped,Gợi ý khóa #124 cho roadmap 124,58.00
371,124,135,20,medium,medium,pending,Gợi ý khóa #135 cho roadmap 124,65.00
372,124,146,30,low,long,in_progress,Gợi ý khóa #146 cho roadmap 124,72.00
373,125,125,10,medium,medium,pending,Gợi ý khóa #125 cho roadmap 125,59.00
374,125,136,20,low,long,in_progress,Gợi ý khóa #136 cho roadmap 125,66.00
375,125,147,30,high,short,completed,Gợi ý khóa #147 cho roadmap 125,73.00
376,126,126,10,low,long,in_progress,Gợi ý khóa #126 cho roadmap 126,60.00
377,126,137,20,high,short,completed,Gợi ý khóa #137 cho roadmap 126,67.00
378,126,148,30,medium,medium,skipped,Gợi ý khóa #148 cho roadmap 126,74.00
379,127,127,10,high,short,completed,Gợi ý khóa #127 cho roadmap 127,61.00
380,127,138,20,medium,medium,skipped,Gợi ý khóa #138 cho roadmap 127,68.00
381,127,149,30,low,long,pending,Gợi ý khóa #149 cho roadmap 127,75.00
382,128,128,10,medium,medium,skipped,Gợi ý khóa #128 cho roadmap 128,62.00
383,128,139,20,low,long,pending,Gợi ý khóa #139 cho roadmap 128,69.00
384,128,150,30,high,short,in_progress,Gợi ý khóa #150 cho roadmap 128,76.00
385,129,129,10,low,long,pending,Gợi ý khóa #129 cho roadmap 129,63.00
386,129,140,20,high,short,in_progress,Gợi ý khóa #140 cho roadmap 129,70.00
387,129,151,30,medium,medium,completed,Gợi ý khóa #151 cho roadmap 129,77.00
388,130,130,10,high,short,in_progress,Gợi ý khóa #130 cho roadmap 130,64.00
389,130,141,20,medium,medium,completed,Gợi ý khóa #141 cho roadmap 130,71.00
390,130,152,30,low,long,skipped,Gợi ý khóa #152 cho roadmap 130,78.00
391,131,131,10,medium,medium,completed,Gợi ý khóa #131 cho roadmap 131,65.00
392,131,142,20,low,long,skipped,Gợi ý khóa #142 cho roadmap 131,72.00
393,131,153,30,high,short,pending,Gợi ý khóa #153 cho roadmap 131,79.00
394,132,132,10,low,long,skipped,Gợi ý khóa #132 cho roadmap 132,66.00
395,132,143,20,high,short,pending,Gợi ý khóa #143 cho roadmap 132,73.00
396,132,154,30,medium,medium,in_progress,Gợi ý khóa #154 cho roadmap 132,80.00
397,133,133,10,high,short,pending,Gợi ý khóa #133 cho roadmap 133,67.00
398,133,144,20,medium,medium,in_progress,Gợi ý khóa #144 cho roadmap 133,74.00
399,133,155,30,low,long,completed,Gợi ý khóa #155 cho roadmap 133,81.00
400,134,134,10,medium,medium,in_progress,Gợi ý khóa #134 cho roadmap 134,68.00
401,134,145,20,low,long,completed,Gợi ý khóa #145 cho roadmap 134,75.00
402,134,156,30,high,short,skipped,Gợi ý khóa #156 cho roadmap 134,82.00
403,135,135,10,low,long,completed,Gợi ý khóa #135 cho roadmap 135,69.00
404,135,146,20,high,short,skipped,Gợi ý khóa #146 cho roadmap 135,76.00
405,135,157,30,medium,medium,pending,Gợi ý khóa #157 cho roadmap 135,83.00
406,136,136,10,high,short,skipped,Gợi ý khóa #136 cho roadmap 136,70.00
407,136,147,20,medium,medium,pending,Gợi ý khóa #147 cho roadmap 136,77.00
408,136,158,30,low,long,in_progress,Gợi ý khóa #158 cho roadmap 136,84.00
409,137,137,10,medium,medium,pending,Gợi ý khóa #137 cho roadmap 137,71.00
410,137,148,20,low,long,in_progress,Gợi ý khóa #148 cho roadmap 137,78.00
411,137,159,30,high,short,completed,Gợi ý khóa #159 cho roadmap 137,85.00
412,138,138,10,low,long,in_progress,Gợi ý khóa #138 cho roadmap 138,72.00
413,138,149,20,high,short,completed,Gợi ý khóa #149 cho roadmap 138,79.00
414,138,160,30,medium,medium,skipped,Gợi ý khóa #160 cho roadmap 138,86.00
415,139,139,10,high,short,completed,Gợi ý khóa #139 cho roadmap 139,73.00
416,139,150,20,medium,medium,skipped,Gợi ý khóa #150 cho roadmap 139,80.00
417,139,161,30,low,long,pending,Gợi ý khóa #161 cho roadmap 139,87.00
418,140,140,10,medium,medium,skipped,Gợi ý khóa #140 cho roadmap 140,74.00
419,140,151,20,low,long,pending,Gợi ý khóa #151 cho roadmap 140,81.00
420,140,162,30,high,short,in_progress,Gợi ý khóa #162 cho roadmap 140,88.00
421,141,141,10,low,long,pending,Gợi ý khóa #141 cho roadmap 141,75.00
422,141,152,20,high,short,in_progress,Gợi ý khóa #152 cho roadmap 141,82.00
423,141,163,30,medium,medium,completed,Gợi ý khóa #163 cho roadmap 141,89.00
424,142,142,10,high,short,in_progress,Gợi ý khóa #142 cho roadmap 142,76.00
425,142,153,20,medium,medium,completed,Gợi ý khóa #153 cho roadmap 142,83.00
426,142,164,30,low,long,skipped,Gợi ý khóa #164 cho roadmap 142,90.00
427,143,143,10,medium,medium,completed,Gợi ý khóa #143 cho roadmap 143,77.00
428,143,154,20,low,long,skipped,Gợi ý khóa #154 cho roadmap 143,84.00
429,143,165,30,high,short,pending,Gợi ý khóa #165 cho roadmap 143,91.00
430,144,144,10,low,long,skipped,Gợi ý khóa #144 cho roadmap 144,78.00
431,144,155,20,high,short,pending,Gợi ý khóa #155 cho roadmap 144,85.00
432,144,166,30,medium,medium,in_progress,Gợi ý khóa #166 cho roadmap 144,92.00
433,145,145,10,high,short,pending,Gợi ý khóa #145 cho roadmap 145,79.00
434,145,156,20,medium,medium,in_progress,Gợi ý khóa #156 cho roadmap 145,86.00
435,145,167,30,low,long,completed,Gợi ý khóa #167 cho roadmap 145,93.00
436,146,146,10,medium,medium,in_progress,Gợi ý khóa #146 cho roadmap 146,80.00
437,146,157,20,low,long,completed,Gợi ý khóa #157 cho roadmap 146,87.00
438,146,168,30,high,short,skipped,Gợi ý khóa #168 cho roadmap 146,94.00
439,147,147,10,low,long,completed,Gợi ý khóa #147 cho roadmap 147,81.00
440,147,158,20,high,short,skipped,Gợi ý khóa #158 cho roadmap 147,88.00
441,147,169,30,medium,medium,pending,Gợi ý khóa #169 cho roadmap 147,55.00
442,148,148,10,high,short,skipped,Gợi ý khóa #148 cho roadmap 148,82.00
443,148,159,20,medium,medium,pending,Gợi ý khóa #159 cho roadmap 148,89.00
444,148,170,30,low,long,in_progress,Gợi ý khóa #170 cho roadmap 148,56.00
445,149,149,10,medium,medium,pending,Gợi ý khóa #149 cho roadmap 149,83.00
446,149,160,20,low,long,in_progress,Gợi ý khóa #160 cho roadmap 149,90.00
447,149,171,30,high,short,completed,Gợi ý khóa #171 cho roadmap 149,57.00
448,150,150,10,low,long,in_progress,Gợi ý khóa #150 cho roadmap 150,84.00
449,150,161,20,high,short,completed,Gợi ý khóa #161 cho roadmap 150,91.00
450,150,172,30,medium,medium,skipped,Gợi ý khóa #172 cho roadmap 150,58.00
451,151,151,10,high,short,completed,Gợi ý khóa #151 cho roadmap 151,85.00
452,151,162,20,medium,medium,skipped,Gợi ý khóa #162 cho roadmap 151,92.00
453,151,173,30,low,long,pending,Gợi ý khóa #173 cho roadmap 151,59.00
454,152,152,10,medium,medium,skipped,Gợi ý khóa #152 cho roadmap 152,86.00
455,152,163,20,low,long,pending,Gợi ý khóa #163 cho roadmap 152,93.00
456,152,174,30,high,short,in_progress,Gợi ý khóa #174 cho roadmap 152,60.00
457,153,153,10,low,long,pending,Gợi ý khóa #153 cho roadmap 153,87.00
458,153,164,20,high,short,in_progress,Gợi ý khóa #164 cho roadmap 153,94.00
459,153,175,30,medium,medium,completed,Gợi ý khóa #175 cho roadmap 153,61.00
460,154,154,10,high,short,in_progress,Gợi ý khóa #154 cho roadmap 154,88.00
461,154,165,20,medium,medium,completed,Gợi ý khóa #165 cho roadmap 154,55.00
462,154,176,30,low,long,skipped,Gợi ý khóa #176 cho roadmap 154,62.00
463,155,155,10,medium,medium,completed,Gợi ý khóa #155 cho roadmap 155,89.00
464,155,166,20,low,long,skipped,Gợi ý khóa #166 cho roadmap 155,56.00
465,155,177,30,high,short,pending,Gợi ý khóa #177 cho roadmap 155,63.00
466,156,156,10,low,long,skipped,Gợi ý khóa #156 cho roadmap 156,90.00
467,156,167,20,high,short,pending,Gợi ý khóa #167 cho roadmap 156,57.00
468,156,178,30,medium,medium,in_progress,Gợi ý khóa #178 cho roadmap 156,64.00
469,157,157,10,high,short,pending,Gợi ý khóa #157 cho roadmap 157,91.00
470,157,168,20,medium,medium,in_progress,Gợi ý khóa #168 cho roadmap 157,58.00
471,157,179,30,low,long,completed,Gợi ý khóa #179 cho roadmap 157,65.00
472,158,158,10,medium,medium,in_progress,Gợi ý khóa #158 cho roadmap 158,92.00
473,158,169,20,low,long,completed,Gợi ý khóa #169 cho roadmap 158,59.00
474,158,180,30,high,short,skipped,Gợi ý khóa #180 cho roadmap 158,66.00
475,159,159,10,low,long,completed,Gợi ý khóa #159 cho roadmap 159,93.00
476,159,170,20,high,short,skipped,Gợi ý khóa #170 cho roadmap 159,60.00
477,159,181,30,medium,medium,pending,Gợi ý khóa #181 cho roadmap 159,67.00
478,160,160,10,high,short,skipped,Gợi ý khóa #160 cho roadmap 160,94.00
479,160,171,20,medium,medium,pending,Gợi ý khóa #171 cho roadmap 160,61.00
480,160,182,30,low,long,in_progress,Gợi ý khóa #182 cho roadmap 160,68.00
481,161,161,10,medium,medium,pending,Gợi ý khóa #161 cho roadmap 161,55.00
482,161,172,20,low,long,in_progress,Gợi ý khóa #172 cho roadmap 161,62.00
483,161,183,30,high,short,completed,Gợi ý khóa #183 cho roadmap 161,69.00
484,162,162,10,low,long,in_progress,Gợi ý khóa #162 cho roadmap 162,56.00
485,162,173,20,high,short,completed,Gợi ý khóa #173 cho roadmap 162,63.00
486,162,184,30,medium,medium,skipped,Gợi ý khóa #184 cho roadmap 162,70.00
487,163,163,10,high,short,completed,Gợi ý khóa #163 cho roadmap 163,57.00
488,163,174,20,medium,medium,skipped,Gợi ý khóa #174 cho roadmap 163,64.00
489,163,185,30,low,long,pending,Gợi ý khóa #185 cho roadmap 163,71.00
490,164,164,10,medium,medium,skipped,Gợi ý khóa #164 cho roadmap 164,58.00
491,164,175,20,low,long,pending,Gợi ý khóa #175 cho roadmap 164,65.00
492,164,186,30,high,short,in_progress,Gợi ý khóa #186 cho roadmap 164,72.00
493,165,165,10,low,long,pending,Gợi ý khóa #165 cho roadmap 165,59.00
494,165,176,20,high,short,in_progress,Gợi ý khóa #176 cho roadmap 165,66.00
495,165,187,30,medium,medium,completed,Gợi ý khóa #187 cho roadmap 165,73.00
496,166,166,10,high,short,in_progress,Gợi ý khóa #166 cho roadmap 166,60.00
497,166,177,20,medium,medium,completed,Gợi ý khóa #177 cho roadmap 166,67.00
498,166,188,30,low,long,skipped,Gợi ý khóa #188 cho roadmap 166,74.00
499,167,167,10,medium,medium,completed,Gợi ý khóa #167 cho roadmap 167,61.00
500,167,178,20,low,long,skipped,Gợi ý khóa #178 cho roadmap 167,68.00
501,167,189,30,high,short,pending,Gợi ý khóa #189 cho roadmap 167,75.00
502,168,168,10,low,long,skipped,Gợi ý khóa #168 cho roadmap 168,62.00
503,168,179,20,high,short,pending,Gợi ý khóa #179 cho roadmap 168,69.00
504,168,190,30,medium,medium,in_progress,Gợi ý khóa #190 cho roadmap 168,76.00
505,169,169,10,high,short,pending,Gợi ý khóa #169 cho roadmap 169,63.00
506,169,180,20,medium,medium,in_progress,Gợi ý khóa #180 cho roadmap 169,70.00
507,169,191,30,low,long,completed,Gợi ý khóa #191 cho roadmap 169,77.00
508,170,170,10,medium,medium,in_progress,Gợi ý khóa #170 cho roadmap 170,64.00
509,170,181,20,low,long,completed,Gợi ý khóa #181 cho roadmap 170,71.00
510,170,192,30,high,short,skipped,Gợi ý khóa #192 cho roadmap 170,78.00
511,171,171,10,low,long,completed,Gợi ý khóa #171 cho roadmap 171,65.00
512,171,182,20,high,short,skipped,Gợi ý khóa #182 cho roadmap 171,72.00
513,171,193,30,medium,medium,pending,Gợi ý khóa #193 cho roadmap 171,79.00
514,172,172,10,high,short,skipped,Gợi ý khóa #172 cho roadmap 172,66.00
515,172,183,20,medium,medium,pending,Gợi ý khóa #183 cho roadmap 172,73.00
516,172,194,30,low,long,in_progress,Gợi ý khóa #194 cho roadmap 172,80.00
517,173,173,10,medium,medium,pending,Gợi ý khóa #173 cho roadmap 173,67.00
518,173,184,20,low,long,in_progress,Gợi ý khóa #184 cho roadmap 173,74.00
519,173,195,30,high,short,completed,Gợi ý khóa #195 cho roadmap 173,81.00
520,174,174,10,low,long,in_progress,Gợi ý khóa #174 cho roadmap 174,68.00
521,174,185,20,high,short,completed,Gợi ý khóa #185 cho roadmap 174,75.00
522,174,196,30,medium,medium,skipped,Gợi ý khóa #196 cho roadmap 174,82.00
523,175,175,10,high,short,completed,Gợi ý khóa #175 cho roadmap 175,69.00
524,175,186,20,medium,medium,skipped,Gợi ý khóa #186 cho roadmap 175,76.00
525,175,197,30,low,long,pending,Gợi ý khóa #197 cho roadmap 175,83.00
526,176,176,10,medium,medium,skipped,Gợi ý khóa #176 cho roadmap 176,70.00
527,176,187,20,low,long,pending,Gợi ý khóa #187 cho roadmap 176,77.00
528,176,198,30,high,short,in_progress,Gợi ý khóa #198 cho roadmap 176,84.00
529,177,177,10,low,long,pending,Gợi ý khóa #177 cho roadmap 177,71.00
530,177,188,20,high,short,in_progress,Gợi ý khóa #188 cho roadmap 177,78.00
531,177,199,30,medium,medium,completed,Gợi ý khóa #199 cho roadmap 177,85.00
532,178,178,10,high,short,in_progress,Gợi ý khóa #178 cho roadmap 178,72.00
533,178,189,20,medium,medium,completed,Gợi ý khóa #189 cho roadmap 178,79.00
534,178,200,30,low,long,skipped,Gợi ý khóa #200 cho roadmap 178,86.00
535,179,179,10,medium,medium,completed,Gợi ý khóa #179 cho roadmap 179,73.00
536,179,190,20,low,long,skipped,Gợi ý khóa #190 cho roadmap 179,80.00
537,179,1,30,high,short,pending,Gợi ý khóa #1 cho roadmap 179,87.00
538,180,180,10,low,long,skipped,Gợi ý khóa #180 cho roadmap 180,74.00
539,180,191,20,high,short,pending,Gợi ý khóa #191 cho roadmap 180,81.00
540,180,2,30,medium,medium,in_progress,Gợi ý khóa #2 cho roadmap 180,88.00
541,181,181,10,high,short,pending,Gợi ý khóa #181 cho roadmap 181,75.00
542,181,192,20,medium,medium,in_progress,Gợi ý khóa #192 cho roadmap 181,82.00
543,181,3,30,low,long,completed,Gợi ý khóa #3 cho roadmap 181,89.00
544,182,182,10,medium,medium,in_progress,Gợi ý khóa #182 cho roadmap 182,76.00
545,182,193,20,low,long,completed,Gợi ý khóa #193 cho roadmap 182,83.00
546,182,4,30,high,short,skipped,Gợi ý khóa #4 cho roadmap 182,90.00
547,183,183,10,low,long,completed,Gợi ý khóa #183 cho roadmap 183,77.00
548,183,194,20,high,short,skipped,Gợi ý khóa #194 cho roadmap 183,84.00
549,183,5,30,medium,medium,pending,Gợi ý khóa #5 cho roadmap 183,91.00
550,184,184,10,high,short,skipped,Gợi ý khóa #184 cho roadmap 184,78.00
551,184,195,20,medium,medium,pending,Gợi ý khóa #195 cho roadmap 184,85.00
552,184,6,30,low,long,in_progress,Gợi ý khóa #6 cho roadmap 184,92.00
553,185,185,10,medium,medium,pending,Gợi ý khóa #185 cho roadmap 185,79.00
554,185,196,20,low,long,in_progress,Gợi ý khóa #196 cho roadmap 185,86.00
555,185,7,30,high,short,completed,Gợi ý khóa #7 cho roadmap 185,93.00
556,186,186,10,low,long,in_progress,Gợi ý khóa #186 cho roadmap 186,80.00
557,186,197,20,high,short,completed,Gợi ý khóa #197 cho roadmap 186,87.00
558,186,8,30,medium,medium,skipped,Gợi ý khóa #8 cho roadmap 186,94.00
559,187,187,10,high,short,completed,Gợi ý khóa #187 cho roadmap 187,81.00
560,187,198,20,medium,medium,skipped,Gợi ý khóa #198 cho roadmap 187,88.00
561,187,9,30,low,long,pending,Gợi ý khóa #9 cho roadmap 187,55.00
562,188,188,10,medium,medium,skipped,Gợi ý khóa #188 cho roadmap 188,82.00
563,188,199,20,low,long,pending,Gợi ý khóa #199 cho roadmap 188,89.00
564,188,10,30,high,short,in_progress,Gợi ý khóa #10 cho roadmap 188,56.00
565,189,189,10,low,long,pending,Gợi ý khóa #189 cho roadmap 189,83.00
566,189,200,20,high,short,in_progress,Gợi ý khóa #200 cho roadmap 189,90.00
567,189,11,30,medium,medium,completed,Gợi ý khóa #11 cho roadmap 189,57.00
568,190,190,10,high,short,in_progress,Gợi ý khóa #190 cho roadmap 190,84.00
569,190,1,20,medium,medium,completed,Gợi ý khóa #1 cho roadmap 190,91.00
570,190,12,30,low,long,skipped,Gợi ý khóa #12 cho roadmap 190,58.00
571,191,191,10,medium,medium,completed,Gợi ý khóa #191 cho roadmap 191,85.00
572,191,2,20,low,long,skipped,Gợi ý khóa #2 cho roadmap 191,92.00
573,191,13,30,high,short,pending,Gợi ý khóa #13 cho roadmap 191,59.00
574,192,192,10,low,long,skipped,Gợi ý khóa #192 cho roadmap 192,86.00
575,192,3,20,high,short,pending,Gợi ý khóa #3 cho roadmap 192,93.00
576,192,14,30,medium,medium,in_progress,Gợi ý khóa #14 cho roadmap 192,60.00
577,193,193,10,high,short,pending,Gợi ý khóa #193 cho roadmap 193,87.00
578,193,4,20,medium,medium,in_progress,Gợi ý khóa #4 cho roadmap 193,94.00
579,193,15,30,low,long,completed,Gợi ý khóa #15 cho roadmap 193,61.00
580,194,194,10,medium,medium,in_progress,Gợi ý khóa #194 cho roadmap 194,88.00
581,194,5,20,low,long,completed,Gợi ý khóa #5 cho roadmap 194,55.00
582,194,16,30,high,short,skipped,Gợi ý khóa #16 cho roadmap 194,62.00
583,195,195,10,low,long,completed,Gợi ý khóa #195 cho roadmap 195,89.00
584,195,6,20,high,short,skipped,Gợi ý khóa #6 cho roadmap 195,56.00
585,195,17,30,medium,medium,pending,Gợi ý khóa #17 cho roadmap 195,63.00
586,196,196,10,high,short,skipped,Gợi ý khóa #196 cho roadmap 196,90.00
587,196,7,20,medium,medium,pending,Gợi ý khóa #7 cho roadmap 196,57.00
588,196,18,30,low,long,in_progress,Gợi ý khóa #18 cho roadmap 196,64.00
589,197,197,10,medium,medium,pending,Gợi ý khóa #197 cho roadmap 197,91.00
590,197,8,20,low,long,in_progress,Gợi ý khóa #8 cho roadmap 197,58.00
591,197,19,30,high,short,completed,Gợi ý khóa #19 cho roadmap 197,65.00
592,198,198,10,low,long,in_progress,Gợi ý khóa #198 cho roadmap 198,92.00
593,198,9,20,high,short,completed,Gợi ý khóa #9 cho roadmap 198,59.00
594,198,20,30,medium,medium,skipped,Gợi ý khóa #20 cho roadmap 198,66.00
595,199,199,10,high,short,completed,Gợi ý khóa #199 cho roadmap 199,93.00
596,199,10,20,medium,medium,skipped,Gợi ý khóa #10 cho roadmap 199,60.00
597,199,21,30,low,long,pending,Gợi ý khóa #21 cho roadmap 199,67.00
598,200,200,10,medium,medium,skipped,Gợi ý khóa #200 cho roadmap 200,94.00
599,200,11,20,low,long,pending,Gợi ý khóa #11 cho roadmap 200,61.00
600,200,22,30,high,short,in_progress,Gợi ý khóa #22 cho roadmap 200,68.00
